SA2,SA2 NAME,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19
306031159,Innisfail,4980,4963,4841,4739,4757,44,43,44,44,44,219645499,218145033,215441584,218690417,228589225,37820,37292,37969,39691,41144,44106,43954,44504,46147,48053
306031160,Johnstone,4396,4196,4499,4537,4597,47,47,47,47,48,207906607,196141025,216472674,220821779,224604526,39409,39836,41395,42112,42337,47294,46745,48116,48671,48859
306031161,Tully,6502,6286,6388,6191,6272,43,44,45,46,47,282543932,281834909,296111466,297700635,307956514,35432,37285,36971,39743,40733,43455,44835,46354,48086,49100
306031162,Wooroonooran,np,np,8,5,7,np,np,60,60,59,np,np,596049,478315,519824,np,np,90495,101552,82545,np,np,74506,95663,74261
306031163,Yarrabah,458,480,513,515,534,39,39,39,38,38,18412559,19298054,20639839,21628317,23572719,38547,37001,37238,41245,40845,40202,40204,40234,41997,44144
306041164,Daintree,3462,3601,3778,3845,3929,46,46,47,47,47,161746093,167774518,176830771,185596884,191705569,38033,38805,39611,41170,42171,46720,46591,46805,48270,48792
306041165,Port Douglas,3638,3485,3743,3747,3808,40,41,41,41,41,158424287,153527506,168296665,174771706,180313691,36332,37099,37350,39345,40983,43547,44054,44963,46643,47351
306051166,Atherton,6113,6256,6164,6237,6249,45,46,46,46,46,280617180,288153555,297224529,312123035,322744997,36687,37907,39181,41585,43440,45905,46060,48219,50044,51647
306051167,Herberton,2436,2297,2483,2478,2523,49,49,50,50,50,99890575,93176385,104488880,105436367,109235195,32416,32170,33246,34467,35438,41006,40564,42082,42549,43296
306051168,Kuranda,2562,2493,2532,2600,2714,49,49,49,49,48,122935741,122930893,126671284,133668611,140084500,36521,38517,39330,40346,41326,47984,49310,50028,51411,51616
306051169,Malanda - Yungaburra,4631,4443,4754,4962,5090,51,50,51,51,51,209789600,203589420,228916810,245232671,254224480,34499,35625,38027,38316,38677,45301,45823,48152,49422,49946
306051170,Mareeba,6155,6342,6498,6635,6814,43,43,42,42,42,286635539,300802418,298155477,320505075,337334982,38934,38922,38199,40614,41947,46570,47430,45884,48305,49506
307011171,Balonne,2663,2529,2636,2609,2500,43,43,43,43,44,123915956,139002458,151479103,126229757,117637548,39349,43037,46674,42132,43116,46532,54963,57466,48382,47055
307011172,Chinchilla,4332,4049,4196,4299,4379,41,42,42,41,41,254093754,238749146,243930719,243097942,261775579,46792,46643,46003,45690,47921,58655,58965,58134,56548,59780
307011173,Goondiwindi,4017,4027,4075,4071,4118,43,42,42,42,42,202433649,219717122,223596984,221065252,219665544,42596,45541,46626,47955,47883,50394,54561,54870,54302,53343
307011174,Inglewood - Waggamba,2181,2599,2406,2260,2306,46,46,46,46,45,91822435,161908645,123504253,99386643,97392565,34444,34406,35497,37796,37858,42101,62297,51332,43976,42234
307011175,Miles - Wandoan,2211,1859,2222,2188,2222,43,44,44,44,44,96889175,90633654,117282711,101566880,97463472,38213,42624,43311,41041,41616,43821,48754,52782,46420,43863
307011176,Roma,4605,4400,4242,4227,4307,38,39,40,40,40,269017220,258623928,261866798,257154679,261813853,51807,50775,53184,53690,54950,58419,58778,61732,60836,60788
307011177,Roma Region,3224,2859,3215,3314,3274,45,45,45,46,46,139095551,149907021,193190394,155453899,143963458,35460,38274,42043,39479,39402,43144,52433,60090,46908,43972
307011178,Tara,1789,1666,1732,1734,1722,47,47,47,47,47,79317397,83449462,84085868,72360443,74358718,36407,38372,36859,33311,37001,44336,50090,48548,41730,43182
307021179,Crows Nest - Rosalie,4104,4168,4344,4326,4396,49,49,49,49,49,168985583,179802294,194734176,191070592,196128499,34601,35757,36813,37147,38869,41176,43139,44828,44168,44615
307021180,Jondaryan,4104,3986,4118,4119,4168,44,44,44,44,45,196448077,202401148,207182204,208317955,212262495,43913,46597,45706,46712,46644,47867,50778,50311,50575,50927
307021181,Millmerran,1835,1700,1811,1780,1780,46,45,46,46,47,85698409,89588906,92259924,90928672,80256557,37277,39926,40627,41373,40829,46702,52699,50944,51084,45088
307021182,Pittsworth,3364,3338,3363,3395,3395,45,45,45,45,45,162180844,176344242,167279153,171424118,174810954,39183,41932,42297,42102,44509,48211,52829,49741,50493,51491
307021183,Wambo,9399,9220,9324,9529,9561,43,43,43,43,43,495367910,500043271,507177563,509221601,514836413,44424,46195,45733,46694,47610,52704,54235,54395,53439,53848
307031184,Clifton - Greenmount,2714,2735,2828,2862,2881,48,48,48,48,48,113558770,125703120,128730498,130234643,127548268,36012,38774,38239,38892,37918,41842,45961,45520,45505,44272
307031185,Southern Downs - East,2265,2043,2362,2456,2447,49,48,49,49,49,86426448,85483098,97789459,101101431,97619840,32894,36431,35146,35345,34947,38157,41842,41401,41165,39894
307031186,Southern Downs - West,2315,2303,2439,2527,2557,48,49,49,49,49,92414974,95378718,99077676,105563164,105853774,33229,34468,33748,35576,36188,39920,41415,40622,41774,41398
307031187,Stanthorpe,3196,3159,3199,3033,2940,43,43,43,44,45,118771484,122825097,124885956,125469795,129615623,29933,31222,31078,33605,35085,37163,38881,39039,41368,44087
307031188,Stanthorpe Region,3272,3311,3390,3347,3329,46,46,46,47,48,119688131,123823621,129997190,131354368,138692535,30486,30334,31028,33045,34420,36580,37398,38347,39245,41662
307031189,Warwick,7712,7733,7727,7822,7967,44,45,45,45,44,341331786,353476984,358751603,371539552,389736320,39265,40323,41325,42665,44282,44260,45710,46428,47499,48919
308011190,Central Highlands - East,3603,3504,3589,3650,3757,38,39,39,39,39,301515808,265633954,274678158,288689913,299172981,62152,60465,60173,64821,66765,83685,75809,76533,79093,79631
308011191,Central Highlands - West,4204,3532,4068,4146,3980,43,43,44,44,44,276009561,238275470,324165752,287268061,254005907,48961,48445,52241,52324,50551,65654,67462,79687,69288,63821
308011192,Emerald,8195,7551,8020,8346,8531,37,37,38,38,38,593672995,552607673,568164867,619748620,654308942,56255,56082,56099,58954,60115,72443,73183,70843,74257,76698
308031205,Berserker,3437,3180,3192,3252,3347,37,38,38,38,38,174373836,158319970,154915378,167340155,176564849,46529,45641,44368,47244,48367,50734,49786,48532,51458,52753
308031206,Bouldercombe,1026,1002,972,1014,994,47,47,48,48,48,59800427,57941319,55876324,58322437,59240055,49113,48014,46740,48360,50248,58285,57826,57486,57517,59598
308031207,Emu Park,2590,2561,2570,2703,2800,47,48,48,48,48,151291499,143125984,144060207,158482751,170427185,45354,43784,43554,46856,47671,58414,55887,56055,58632,60867
308031208,Frenchville - Mount Archer,5234,5159,5066,5189,5186,42,42,42,42,42,325142325,320194693,312710442,330031345,340397750,52287,52513,52510,53854,56778,62121,62065,61727,63602,65638
308031209,Glenlee - Rockyview,2630,2643,2697,2702,2748,44,44,45,45,45,177644591,177152718,185583392,191063268,203922173,54971,55979,57700,59679,64455,67545,67027,68811,70712,74207
308031210,Gracemere,6061,5925,6006,6094,6271,36,37,37,38,38,376122747,356404457,355350168,378337044,401084389,51579,50507,50511,52904,54758,62056,60153,59166,62084,63959
308031211,Lakes Creek,2706,2550,2472,2552,2593,37,39,39,39,39,145038403,136772454,129305709,138111586,145556986,49925,49329,47830,50302,50804,53599,53636,52308,54119,56135
308031212,Mount Morgan,1020,901,983,993,1020,47,48,48,47,48,51272352,44756320,48507256,48205769,52423935,43133,42479,43233,41768,44294,50267,49674,49346,48546,51396
308031213,Norman Gardens,5596,5404,5644,5786,5936,41,41,41,41,41,360066642,350025945,365241993,382751534,404001209,53122,53743,54330,56068,57617,64344,64772,64713,66151,68060
308031214,Park Avenue,2627,2476,2510,2536,2568,39,39,40,40,40,136401525,130105510,131875038,137306996,143952705,46824,47551,47635,49256,51485,51923,52547,52540,54143,56056
308031215,Parkhurst - Kawana,3539,3438,3496,3673,3778,39,40,39,39,40,210018951,203626043,204892469,224021141,241349317,50898,51857,51196,53422,55175,59344,59228,58608,60991,63883
308031216,Rockhampton - West,3041,2964,2970,3033,3088,42,42,42,42,42,180948139,176853523,178232183,188571709,200734641,50878,51662,51816,53409,55996,59503,59667,60011,62173,65005
308031217,Rockhampton City,1714,1884,1614,1607,1682,42,43,44,43,42,92759686,101540286,85710152,85358201,91131340,44338,43455,42762,44646,45705,54119,53896,53104,53116,54180
308031218,Rockhampton Region - East,1794,1809,1815,1873,1942,47,48,48,48,48,101807244,101743641,104346257,110487193,123622217,45637,44179,45420,47726,52603,56749,56243,57491,58989,63657
308031219,Rockhampton Region - North,2430,2401,2474,2548,2590,48,48,48,48,48,139612689,135311962,137453886,144326153,153172883,41923,40384,42283,42867,43383,57454,56357,55559,56643,59140
308031220,Rockhampton Region - West,1768,1726,1725,1735,1749,46,46,47,46,46,92293877,91605184,91089979,96196951,97408894,41572,43243,43438,46674,47948,52202,53074,52806,55445,55694
308031221,Shoalwater Bay,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
308031222,The Range - Allenstown,3993,3849,3990,4040,4115,44,44,44,44,43,283284859,276374072,292533911,300773084,309853859,52612,53105,54308,56944,57013,70945,71804,73317,74449,75299
308031223,Yeppoon,9952,9930,10230,10562,10955,45,45,45,45,45,637265771,628084683,642609818,689724275,747786979,49048,49420,49700,51871,54277,64034,63251,62816,65302,68260
308041528,Banana,5005,4933,4730,4810,4876,45,45,46,46,46,278926901,301364791,300059111,273284251,284383920,42948,46775,46755,46588,47212,55730,61092,63437,56816,58323
308041529,Biloela,3572,3492,3391,3393,3370,39,40,40,40,41,238002662,234136231,230090711,232689308,243935212,53023,52656,53944,53947,59128,66630,67049,67853,68579,72384
308051530,Agnes Water - Miriam Vale,3115,3071,3154,3198,3250,49,50,50,50,50,168239676,151543857,152434854,157696350,164015000,36968,34764,34466,34835,36247,54010,49347,48331,49311,50466
308051531,Boyne Island - Tannum Sands,5985,5699,5436,5548,5631,42,43,44,44,44,520303555,464187409,413372093,417269631,423028409,69593,64188,60048,61684,62059,86935,81451,76043,75211,75125
308051532,Callemondah,np,np,6,8,np,np,np,44,45,np,np,np,464282,788829,np,np,np,63248,90430,np,np,np,77380,98604,np
308051533,Clinton - New Auckland,8004,7436,7149,7217,7260,37,38,39,38,39,733801917,620217131,523987260,527945458,529649556,71733,64432,58100,59280,61120,91679,83407,73295,73153,72954
308051534,Gladstone,3641,3157,3017,3001,3009,41,41,42,42,42,328597429,249585472,211002855,205654316,204042955,62933,57113,50581,52452,51931,90249,79058,69938,68529,67811
308051535,Gladstone Hinterland,6547,6181,6051,6085,6118,43,43,44,44,44,543864875,468857028,430404182,430214754,431458234,65972,60183,55688,57255,58471,83071,75855,71129,70701,70523
308051536,Kin Kora - Sun Valley,2338,2111,2014,2013,2025,40,42,42,42,43,190382888,161653215,140079145,137495035,140610635,65767,59634,56757,56951,58701,81430,76577,69553,68304,69437
308051537,South Trees,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
308051538,Telina - Toolooa,3664,3373,3292,3409,3478,38,39,40,40,40,317846132,275676025,239143880,244444085,251655284,68162,63008,56685,57678,58933,86748,81730,72644,71706,72356
308051539,West Gladstone,2850,2553,2363,2415,2442,40,42,43,42,42,228205730,195095139,159216494,161826437,161427142,59259,54328,50794,52178,51574,80072,76418,67379,67009,66104
309011224,Broadbeach Waters,5165,5252,5250,5458,5535,44,44,44,44,44,339309986,354996020,360624843,379271417,391405868,43506,44436,44792,45338,45495,65694,67593,68690,69489,70715
309011225,Burleigh Heads,5710,5850,6096,6285,6264,42,41,42,42,42,330315567,342815781,363501736,380440477,395916019,43448,44680,45070,46772,47894,57849,58601,59630,60531,63205
309011226,Burleigh Waters,8261,8351,8564,8802,8862,43,43,43,43,43,441580231,460598490,480229994,507988188,528214540,42948,43982,45097,46347,47756,53454,55155,56075,57713,59604
309011227,Mermaid Beach - Broadbeach,7971,8278,8412,8674,8853,37,37,37,38,38,484016350,523046738,535430396,576685811,606214113,44129,44367,45453,46442,47961,60722,63185,63651,66484,68476
309011228,Mermaid Waters,7410,7447,7698,7947,8057,42,42,42,42,42,392838533,403665477,423253261,452918573,479795172,41096,42540,43389,44473,45802,53015,54205,54982,56992,59550
309011229,Miami,4455,4574,4718,4918,5057,39,38,39,39,38,254311472,261131443,278978155,296034291,329313052,43934,45261,45494,46655,48701,57085,57090,59131,60194,65120
309021230,Coolangatta,3480,3503,3693,3861,3935,45,45,45,45,44,185098420,191016275,192895212,207958294,215502055,39453,39973,40008,40928,41868,53189,54529,52233,53861,54765
309021231,Currumbin - Tugun,6860,6921,7183,7479,7658,43,43,43,43,43,391665617,406346774,429102897,469455842,476221777,42465,43909,44987,46215,47932,57094,58712,59739,62770,62186
309021232,Currumbin Waters,5285,5367,5558,5770,5885,45,45,45,45,44,274370222,286605462,297617135,313548542,332531015,41957,43590,44386,45076,46752,51915,53401,53548,54341,56505
309021233,Elanora,6844,7020,7279,7388,7497,45,45,45,44,44,348200008,362247832,383618492,398970791,410220035,41483,42688,43043,44617,45657,50877,51602,52702,54003,54718
309021234,Palm Beach,8525,8742,9081,9470,9790,42,42,41,41,41,473674910,503906457,544702838,568316624,608854296,42649,43964,45425,46579,48100,55563,57642,59983,60012,62191
309031235,Arundel,5875,5944,6124,6188,6248,43,44,44,44,44,308287548,312180893,326309675,336108052,348171910,42157,42949,43002,44596,45380,52474,52520,53284,54316,55725
309031236,Biggera Waters,4304,4580,5020,5296,5479,41,41,41,42,42,223976373,237449916,260141491,275487482,291921278,41937,42440,42342,43450,43644,52039,51845,51821,52018,53280
309031237,Coombabah,4817,4880,5031,5160,5069,44,45,45,45,45,220247174,225966105,236739090,248559444,253303225,39546,40320,41431,42712,44663,45723,46305,47056,48170,49971
309031238,Labrador,9124,9261,9602,9849,10047,40,41,41,41,42,422288421,432521082,457032148,488906423,503106630,39801,41110,41601,43321,43625,46283,46703,47598,49640,50075
309031239,Paradise Point - Hollywell,6034,5946,6044,6649,6895,49,50,50,48,48,451864546,448635028,444952989,462925120,475625723,46136,47343,47873,45645,44752,74886,75452,73619,69623,68981
309031240,Runaway Bay,5839,5781,5821,5783,5844,51,51,51,51,51,332157931,332167753,335342117,349324901,364216169,41759,42142,42252,43930,46018,56886,57459,57609,60405,62323
309041241,Guanaba - Springbrook,2543,2562,2633,2666,2716,47,47,47,47,47,135390382,145478033,151364665,155384289,161832024,42756,44391,45990,45576,47607,53240,56783,57488,58284,59585
309041242,Tamborine - Canungra,7971,7964,8384,8712,9026,48,48,48,48,48,411808014,420106494,449003068,477549333,509684609,40480,41441,42356,43699,45148,51663,52751,53555,54815,56468
309051243,Currumbin Valley - Tallebudgera,4374,4378,4589,4645,4781,46,46,46,46,46,254790076,255595932,283179028,290360106,302684262,41598,42194,43460,44116,44849,58251,58382,61708,62510,63310
309051244,Mudgeeraba - Bonogin,10562,10562,11001,11228,11348,43,44,44,44,44,583388976,598466495,635964599,671395164,687596148,43580,45071,45900,47269,48592,55235,56662,57810,59797,60592
309051245,Reedy Creek - Andrews,4399,4601,4790,4939,5072,42,42,42,42,42,257197106,276484986,291718127,307740590,318130803,45841,48349,49416,50242,50557,58467,60092,60901,62308,62723
309061246,Carrara,7302,7449,7690,7910,8007,44,44,44,44,44,397087870,403613016,422328911,444013887,459146349,43232,44172,44141,46057,47512,54381,54184,54919,56133,57343
309061247,Highland Park,4773,4802,4905,5035,5139,43,43,43,43,43,232866238,237843385,246606670,263281284,271788641,42676,44149,44437,45159,46779,48788,49530,50277,52290,52887
309061248,Nerang - Mount Nathan,11193,11351,11627,11970,12082,42,42,42,42,42,556512527,573538786,601760330,627494352,645286909,42001,43616,44205,45082,46515,49720,50528,51755,52422,53409
309061249,Pacific Pines - Gaven,10275,10344,10755,10975,11254,39,39,39,40,40,551725200,566136865,590320035,610796469,640423710,45867,47049,47560,48516,49877,53696,54731,54888,55653,56906
309061250,Worongary - Tallai,4681,4727,4901,5011,5067,46,45,45,45,46,265303006,273400885,288768964,294882939,320585977,41306,44366,44307,45407,47809,56677,57838,58920,58847,63269
309071251,Coomera,6082,6920,8322,8941,9928,38,37,36,37,37,348810044,388897411,463228278,504614476,562336645,46858,46476,45865,46905,47753,57351,56199,55663,56438,56641
309071252,Helensvale,9955,10117,10247,10573,10933,44,44,44,44,44,576447464,592433418,612371562,645859656,675602323,45250,46270,47641,48062,49534,57905,58558,59761,61086,61795
309071253,Hope Island,6458,6842,7513,7862,8162,49,49,50,50,49,465980800,507749038,551244477,583958685,629524483,46766,48521,48011,48168,48477,72156,74211,73372,74276,77129
309071254,Jacobs Well - Alberton,2135,2179,2361,2471,2651,45,46,46,46,46,119548509,127962453,139952289,151967789,168481793,43404,45886,47534,49654,51057,55995,58725,59277,61501,63554
309071255,Ormeau - Yatala,10584,11009,11813,12217,12652,40,39,39,40,40,609259557,645202171,695773815,737560065,769958533,50097,51230,51432,52812,53473,57564,58607,58899,60372,60857
309071256,Oxenford - Maudsland,8974,9215,9586,9886,10415,41,41,41,41,41,491170382,519007459,539135067,580046295,616573052,46766,48596,48387,50344,51179,54733,56322,56242,58674,59200
309071257,Pimpama,3256,4413,6907,8406,10459,34,33,33,33,33,168133865,224310204,358195234,473358081,621611292,45539,45269,46055,47631,49106,51638,50829,51860,56312,59433
309071258,Upper Coomera - Willow Vale,15943,17065,18025,18884,19470,38,38,39,39,39,886579617,954445908,1026651834,1106412586,1156863679,46484,47841,48544,50094,51145,55609,55930,56957,58590,59418
309081259,Clear Island Waters,2686,2610,2719,2708,2706,50,49,49,49,49,168470984,166601241,167080887,172740242,185928422,39932,41637,41628,42327,42919,62722,63832,61449,63789,68710
309081260,Merrimac,3724,3821,3992,4115,4209,40,41,40,41,41,180562555,192260440,203984573,219563778,223683633,42808,44883,45328,46657,47634,48486,50317,51098,53357,53144
309081261,Robina,13523,13735,14144,14678,15107,44,44,43,43,43,703091241,733981675,765937490,808673537,846151383,42038,43326,43910,44780,45813,51992,53439,54153,55094,56011
309081262,Varsity Lakes,8308,8546,8949,9419,9764,39,39,39,39,39,421608172,440364400,460206525,498762968,529240424,42151,43194,43617,44727,46471,50747,51529,51425,52953,54203
309091263,Ashmore,6934,6937,7032,7231,7326,44,44,44,44,44,366764559,378202230,388614493,409015985,417909371,42303,44234,44382,45239,45937,52894,54520,55264,56564,57045
309091264,Molendinar,3635,3787,3835,3931,4025,41,41,41,41,41,180105795,189275263,192011979,201824106,212529368,40827,41465,41611,42303,43867,49548,49980,50068,51342,52802
309091265,Parkwood,5173,5196,5222,5386,5479,42,42,42,42,41,262128355,271336989,277615982,292504261,297954371,41968,43797,44254,45242,45160,50672,52220,53163,54308,54381
309091540,Southport - North,7181,7558,8022,8281,8659,36,36,36,36,36,320127168,341715700,358779288,435643920,416232033,36852,37587,36610,38305,38994,44580,45212,44724,52608,48069
309091541,Southport - South,9059,9120,10132,10507,10586,41,41,40,40,40,462865476,490909099,553925463,579608750,594571273,38767,40250,40003,41352,41980,51095,53828,54671,55164,56166
309101267,Benowa,5152,5081,5368,5567,5671,46,46,46,46,46,333022350,338600292,367001809,376682106,388289410,42751,44123,45048,44332,45044,64639,66640,68368,67663,68469
309101268,Bundall,2931,2921,3321,3437,3248,45,45,44,43,45,198484909,208035126,226419841,245091629,245471702,43959,46370,44066,44184,48078,67719,71221,68178,71310,75576
309101269,Main Beach,2553,2485,2631,2679,2582,51,52,52,53,54,187278107,197621731,208609445,219613750,218199440,45591,47449,47601,48193,49679,73356,79526,79289,81976,84508
309101270,Surfers Paradise,14811,15005,15808,16138,16121,35,36,36,36,37,785062395,800211001,844080132,878950692,911493058,35175,35559,35360,35454,36802,53005,53330,53396,54465,56541
310011271,Darra - Sumner,2541,2643,2619,2663,2713,36,36,36,36,37,125019344,130279699,130402212,136552715,141918771,43582,44101,44860,46370,48283,49201,49292,49791,51278,52311
310011272,Durack,3823,3931,3963,4078,4132,39,39,40,40,40,173444410,183858680,184853973,193342464,201497879,41485,42976,42827,43539,44660,45369,46771,46645,47411,48765
310011273,Forest Lake - Doolandella,15306,15944,16399,17127,17548,40,40,40,40,40,857557077,896266969,913118214,970874312,1013498183,49964,50449,49908,50998,52328,56028,56213,55681,56687,57756
310011274,Inala - Richlands,6379,6840,7098,7674,8137,37,37,37,36,36,253454288,277158946,289042526,316626188,348644413,37081,37674,37228,37878,39638,39733,40520,40722,41260,42847
310011275,Oxley (Qld),4345,4634,4755,4884,4944,38,38,38,38,39,250300986,271579935,286284181,305559942,323663925,50516,51209,52841,54483,57982,57607,58606,60207,62563,65466
310011276,Wacol,1171,1098,1090,1126,1168,37,37,37,36,37,52022020,48752131,50174771,51811627,55482302,40846,41898,42951,43472,44559,44425,44401,46032,46014,47502
310021277,Boonah,6447,6365,6713,6827,6930,47,47,47,47,47,292702315,298354913,320713452,331962548,343386276,38414,39548,40592,41206,42757,45401,46874,47775,48625,49551
310021278,Esk,2199,2174,2336,2343,2369,50,50,51,50,51,94063864,98894040,104065841,107055666,112522071,34632,37466,38280,38798,39847,42776,45489,44549,45692,47498
310021279,Lake Manchester - England Creek,np,np,3,3,3,np,np,39,40,41,np,np,326127,336255,401799,np,np,79982,93966,100708,np,np,108709,112085,133933
310021280,Lockyer Valley - East,9040,9204,9665,10051,10369,44,44,44,44,44,429363176,438814656,478848406,512425097,541149004,41999,42608,44046,45646,47601,47496,47677,49545,50982,52189
310021281,Lowood,6428,6396,6668,6912,7038,44,44,44,44,44,317172155,322096442,344185577,360341555,380219861,43461,44652,45669,46884,48806,49342,50359,51618,52133,54024
310021282,Rosewood,6026,6039,6370,6488,6713,44,45,45,45,44,308056317,316493773,340140510,354647775,375526603,45940,48039,49300,49499,50605,51121,52408,53397,54662,55940
310031283,Brassall,5109,5278,5436,5698,5923,39,38,38,38,39,267580604,279144975,289315332,307685859,324144456,47308,47936,48687,49785,50360,52374,52888,53222,53999,54726
310031284,Bundamba,4131,4399,4522,4642,4727,40,39,39,39,39,196382018,212450026,221721954,234551010,241592524,45004,46460,46645,48196,49352,47539,48295,49032,50528,51109
310031285,Churchill - Yamanto,3616,3703,3776,3844,3872,38,38,38,38,39,192840406,200839398,202972961,213353238,222621950,50605,51438,51101,52485,54089,53330,54237,53753,55503,57495
310031286,Ipswich - Central,3410,3319,3307,3391,3418,43,44,43,43,43,180754642,185483262,187923621,197249008,200511502,46308,48687,49208,49731,51217,53007,55885,56826,58168,58663
310031287,Ipswich - East,8334,8550,8699,8972,9057,41,41,42,41,42,419074430,442670650,453103229,482730683,496085101,45542,46914,47086,48279,49670,50285,51774,52087,53804,54774
310031288,Ipswich - North,2669,2757,2836,2875,2952,43,43,44,44,44,162489603,170617295,175957392,181337937,192263097,50866,52512,53776,54558,57453,60880,61885,62044,63074,65130
310031289,Karalee - Barellan Point,3127,3242,3406,3549,3701,44,44,45,44,44,200186167,205376409,219579701,238974188,256255543,54802,55207,55601,58620,60715,64019,63349,64468,67336,69240
310031290,Karana Downs,3636,3681,3720,3742,3816,44,45,45,46,46,240466496,243192325,254524609,259668193,272840097,56401,55711,58174,59030,61645,66135,66067,68421,69393,71499
310031291,Leichhardt - One Mile,3042,3208,3424,3581,3650,39,38,38,38,39,142642373,150752176,163582632,175330329,183700538,43913,44060,45016,45933,47068,46891,46993,47775,48961,50329
310031292,North Ipswich - Tivoli,2904,2931,3097,3144,3149,42,41,42,42,41,141858056,145784295,154692877,163280631,168118293,45736,46270,47083,49202,50792,48849,49739,49949,51934,53388
310031293,Raceview,7642,7586,7866,7930,8108,39,40,40,40,40,407542400,412336556,428587921,445745943,467593034,48657,49810,50360,52410,53799,53329,54355,54486,56210,57671
310031294,Ripley,2159,2657,3692,4273,5241,40,38,36,35,35,126240086,157310334,224434450,267469001,333719747,53958,54538,57703,58552,60144,58472,59206,60789,62595,63675
310031295,Riverview,1078,1123,1179,1215,1220,40,40,40,40,40,45662821,48457018,50903304,54704703,56565131,41084,41061,42113,43344,45109,42359,43150,43175,45024,46365
310041296,Bellbird Park - Brookwater,6962,7685,8746,9202,9854,38,38,38,38,38,438879058,488043791,562006149,604681374,662419574,53000,54865,55157,56298,57635,63039,63506,64259,65712,67223
310041297,Camira - Gailes,5040,5134,5207,5245,5351,42,42,42,41,41,257634006,262881172,274462584,285607542,298824500,46935,47414,48529,50392,51550,51118,51204,52710,54453,55845
310041298,Carole Park,24,32,32,22,27,49,46,47,50,34,1102072,1827866,1597071,1186958,1895557,41695,49582,46151,43803,49416,45920,57121,49908,53953,70206
310041299,Collingwood Park - Redbank,4224,4266,4485,4752,5227,38,38,38,38,37,214266571,220348430,229860359,250968111,281351264,47510,48549,48525,49913,51193,50726,51652,51251,52813,53827
310041300,Goodna,4673,4741,4841,5005,5121,37,37,37,37,38,212770655,218058998,223488331,237082459,247995790,43368,43552,43683,45672,46467,45532,45994,46166,47369,48427
310041301,New Chum,np,np,4,np,np,np,np,38,np,np,np,np,66360,np,np,np,np,17799,np,np,np,np,16590,np,np
310041302,Redbank Plains,8585,9061,9862,10687,11458,35,35,34,34,34,411552887,434144131,469444212,526123413,579325674,45467,45972,45330,47266,48811,47939,47913,47601,49230,50561
310041303,Springfield,3784,3796,3879,4088,4209,38,38,39,39,39,214204726,216008300,224703266,245185186,262655033,52035,53307,53958,54982,55779,56608,56904,57928,59977,62403
310041304,Springfield Lakes,8032,8744,9735,10734,12007,35,35,36,36,36,480731220,520873167,589088825,663118916,766389491,54693,55216,55979,56891,59016,59852,59569,60512,61777,63829
311011305,Beaudesert,6279,6466,6837,7023,7066,45,46,46,46,46,293132233,304859841,332604606,346157544,353674645,40324,40747,41214,42284,44295,46685,47148,48648,49289,50053
311021306,Beenleigh,3908,4008,4029,4071,4035,40,41,40,39,40,184708832,190160376,190452197,195756656,197720238,43759,44023,44038,45594,47220,47264,47445,47270,48086,49001
311021307,Eagleby,5571,5617,5616,5764,5799,39,40,39,39,39,237715867,241223001,241977822,253889616,261652988,40155,40601,41271,42629,43988,42670,42945,43087,44047,45120
311021308,Edens Landing - Holmview,3695,3841,4169,4493,4910,38,37,37,36,36,187333558,198229449,219316818,239974239,264786334,47096,48424,48513,49310,50806,50699,51609,52607,53411,53928
311021309,Mount Warren Park,3108,3053,3118,3197,3193,41,42,42,42,42,160531553,161423592,164584157,172476422,176783118,46479,47789,47997,48903,50908,51651,52874,52785,53949,55366
311021310,Wolffdene - Bahrs Scrub,3542,3582,3689,3917,4265,42,42,43,42,41,201035620,209438686,219548790,234150010,257024311,47964,48874,50162,51648,52994,56758,58470,59514,59778,60264
311031311,Boronia Heights - Park Ridge,5890,5947,6373,6859,7604,41,41,40,39,39,287524003,287978074,315050476,341432088,387633321,43811,43802,45393,46410,47601,48816,48424,49435,49779,50978
311031312,Browns Plains,3842,3824,3858,3958,3995,36,37,37,37,37,181710334,183363270,187287086,198715213,205598186,44418,45569,45754,47783,48463,47296,47951,48545,50206,51464
311031313,Chambers Flat - Logan Reserve,2489,2783,3013,3132,3549,45,43,41,40,38,130517751,144966628,158694746,171116086,189430722,44759,44869,45697,47694,49023,52438,52090,52670,54635,53376
311031314,Crestmead,5532,5589,5641,5778,5959,37,36,37,37,37,258592939,267247006,270354415,283179741,293571881,44405,45890,46778,47672,47983,46745,47817,47927,49010,49265
311031315,Greenbank Military Camp,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
311031316,Hillcrest,4707,4704,4888,5031,5022,41,41,41,40,41,256431044,261589659,272975623,283902247,290199412,47782,49396,49395,50820,51612,54479,55610,55846,56431,57786
311031317,Marsden,6356,6518,6655,6958,7164,36,36,36,36,36,290292855,300909886,308802311,330206503,341038704,43278,44225,44088,44773,45918,45672,46166,46402,47457,47605
